,Province,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020
0,Anhui,1,8,6,24,21,10,36,46,48,37,60,43,68,72,50,61,74,68,46,51,30,29,21,24,16,12,11,9,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Beijing,14,8,14,5,27,12,11,20,3,25,29,23,21,16,25,21,23,18,11,11,5,10,14,6,3,5,1,6,6,2,1,3,0,0,1,0,10,0,1,2,1,0,4,0,4,4,2,0,1,6,0,1,1,5,10,4,13,11,11,13,18,15,21,3,5,3,4,4,0,3,0,2
2,Chongqing,6,3,18,30,18,35,22,15,35,29,36,53,37,29,23,22,15,2,40,18,19,13,11,8,7,7,2,2,5,7,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
3,Fujian,1,4,5,8,17,24,21,4,17,19,24,15,20,15,11,10,9,15,11,11,6,5,7,2,4,2,3,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,5,4,6,3,6,1,2,3,2,0
4,Gansu,0,2,0,2,3,7,5,5,2,3,11,11,4,2,5,0,5,12,4,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,1,4,0,1,2,0,0,2,4,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0
5,Guangdong,26,6,21,25,33,40,56,70,77,82,99,97,93,88,82,75,64,61,36,28,18,42,22,20,33,22,6,6,3,1,1,6,3,3,2,0,0,1,1,0,1,0,0,1,1,0,0,0,1,3,0,0,0,4,1,3,6,8,17,5,13,2,13,5,15,8,11,8,9,10,7,6
6,Guangxi,2,3,18,0,13,10,5,7,20,9,13,11,16,12,11,18,4,11,12,15,5,7,0,4,9,2,1,4,2,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Guizhou,1,2,0,1,1,2,2,0,3,17,0,9,8,12,6,7,10,8,10,10,18,6,2,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Hainan,4,1,3,11,3,11,7,3,3,6,10,2,8,8,19,7,11,7,7,7,6,13,0,2,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Hebei,1,0,1,6,5,5,15,15,17,17,14,8,9,13,9,22,15,23,11,12,21,12,14,18,8,9,1,5,0,1,1,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2
