hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,inpatient_beds_used_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,inpatient_beds_used_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18-19_7_day_sum,previous_day_admission_adult_covid_confirmed_20-29_7_day_sum,previous_day_admission_adult_covid_confirmed_30-39_7_day_sum,previous_day_admission_adult_covid_confirmed_40-49_7_day_sum,previous_day_admission_adult_covid_confirmed_50-59_7_day_sum,previous_day_admission_adult_covid_confirmed_60-69_7_day_sum,previous_day_admission_adult_covid_confirmed_70-79_7_day_sum,previous_day_admission_adult_covid_confirmed_80+_7_day_sum,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ED_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18-19_7_day_sum,previous_day_admission_adult_covid_suspected_20-29_7_day_sum,previous_day_admission_adult_covid_suspected_30-39_7_day_sum,previous_day_admission_adult_covid_suspected_40-49_7_day_sum,previous_day_admission_adult_covid_suspected_50-59_7_day_sum,previous_day_admission_adult_covid_suspected_60-69_7_day_sum,previous_day_admission_adult_covid_suspected_70-79_7_day_sum,previous_day_admission_adult_covid_suspected_80+_7_day_sum,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ED_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,previous_week_personnel_covid_vaccinated_doses_administered_7_day,total_personnel_covid_vaccinated_doses_none_7_day,total_personnel_covid_vaccinated_doses_one_7_day,total_personnel_covid_vaccinated_doses_all_7_day,previous_week_patients_covid_vaccinated_doses_one_7_day,previous_week_patients_covid_vaccinated_doses_all_7_day,is_corrected
131312,2021/11/05,ID,131312,ST LUKE'S MCCALL,1000 STATE STREET,MCCALL,83638,Critical Access Hospitals,16085,false,13,13,13,4.3,-999999,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,91,91,91,30,27,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,70,0,POINT (-116.109703 44.909354),[C131312-A],7,7,7,7,,,,,,,false
150034,2020/08/14,IN,150034,ST MARY MEDICAL CENTER INC,1500 S LAKE PARK AVE,HOBART,46342,Short Term,18089,true,288,218,218,145.3,145.3,11.9,11.9,8.1,0,0,218,20,20,16,16,-999999,-999999,,,,2016,1526,1526,1017,1017,83,83,57,0,0,1526,140,140,112,112,25,25,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,7,0,-999999,-999999,-999999,0,-999999,0,-999999,0,-999999,29,30,0,-999999,-999999,-999999,-999999,8,10,5,0,0,639,,POINT (-87.258916 41.513396),[C150034-A],7,7,7,7,,,,,,,false
050739,2021/04/16,CA,050739,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,90301,Short Term,06037,true,276.7,272.9,220.9,171.4,167.6,4.4,4.4,-999999,0,0,224.7,36.4,32.6,25,21.1,-999999,0,0,0,0,1937,1910,1546,1200,1173,31,31,10,0,0,1573,255,228,175,148,4,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,0,0,0,0,-999999,-999999,-999999,-999999,0,0,30,21,0,-999999,0,-999999,-999999,6,6,-999999,0,0,1169,0,POINT (-118.347779 33.949085),[C050739-A],7,7,7,7,0,679,258,2362,0,0,false
330194,2021/01/15,NY,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,11219,Short Term,36047,true,926,859,859,579.9,534.9,175.1,172.9,172.9,-999999,-999999,926,80,69,61.6,55.9,23.4,23.4,0,0,0,6482,6013,6013,4059,3744,1226,1210,1210,16,14,6482,560,483,431,391,164,164,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,131,0,8,8,9,9,26,22,49,0,-999999,59,0,0,0,0,0,0,0,0,0,0,0,1694,0,POINT (-73.998667 40.639079),[C330194-A],7,7,7,7,,,,,,,false
521357,2021/01/08,WI,521357,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,N2950 STATE ROAD 67,LAKE GENEVA,53147,Critical Access Hospitals,55127,true,25,25,25,11.6,11.6,-999999,-999999,-999999,0,0,25,4,4,-999999,-999999,-999999,-999999,0,0,0,175,175,175,81,81,16,16,16,0,0,175,28,28,18,18,16,16,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,-999999,-999999,-999999,-999999,-999999,0,0,36,0,0,0,0,0,0,0,0,0,0,0,278,0,POINT (-88.540757 42.597832),[C521357-A],7,7,7,7,,,,,,,false
100051,2020/11/06,FL,100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,1900 DON WICKHAM DR,CLERMONT,34711,Short Term,12069,true,202,202,202,174.7,174.7,22.4,22.3,10.4,-999999,0,202,13.1,13.1,13,13,-999999,-999999,,,,1414,1414,1414,1223,1223,157,156,73,-999999,0,1414,92,92,91,91,5,5,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,4,0,-999999,0,-999999,-999999,0,-999999,0,0,0,62,48,-999999,-999999,-999999,5,4,7,19,7,0,-999999,839,,POINT (-81.72258 28.551306),[C100051-A],7,7,7,7,,,,,,,false
271323,2021/01/22,MT,271323,CLARK FORK VALLEY HOSPITAL,10 KRUGER RD,PLAINS,59859,Critical Access Hospitals,30089,false,20,20,16,9,9,-999999,-999999,-999999,0,0,16,-999999,-999999,0,0,0,0,0,0,0,140,140,112,63,63,4,4,4,0,0,112,14,14,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-999999,0,0,0,0,0,0,-999999,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,75,0,POINT (-114.889051 47.469528),[C271323-A],7,7,7,7,89,106,161,78,0,11,false
020024,2021/08/06,AK,020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,99669,Short Term,02120,false,93,93,60,48.3,48.3,11,11,11,0,0,60,9,9,8.6,8.6,-999999,-999999,0,0,0,651,651,420,338,338,77,77,77,0,0,420,63,63,60,60,21,21,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,0,0,-999999,-999999,4,-999999,-999999,-999999,0,0,112,0,0,0,0,0,0,0,0,0,0,0,392,0,POINT (-151.077658 60.493865),[C020024-A],7,7,7,7,8,428,10,669,0,0,false
280132,2021/09/17,NE,280132,"BELLEVUE MEDICAL CENTER, LLC",2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,68123,Short Term,31153,true,70,70,60,55.6,55.6,0,0,0,0,0,60,8,8,6.1,6.1,0,0,0,0,0,490,490,420,389,389,0,0,0,0,0,420,56,56,43,43,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,663,0,POINT (-95.94586 41.13639),[C280132-A],7,7,7,7,0,0,0,0,0,0,false
050132,2021/08/13,CA,050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,91776,Short Term,06037,true,156,156,154,107.6,107.6,11.7,11.7,6.6,0,0,154,23,11,13.9,8.9,-999999,-999999,0,0,0,1092,1092,1078,753,753,82,82,46,0,0,1078,161,77,97,62,21,19,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,0,4,-999999,-999999,0,0,18,19,0,0,0,-999999,-999999,-999999,6,5,0,0,443,0,POINT (-118.106287 34.102457),[C050132-A],7,7,7,7,0,129,26,751,0,0,false
